Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9965596583360683,0.01530403921637171,0.6234737246621869,0.6200333818561302,21.57059752989809,0.6177488300730201
2,1.000293340140474,0.009870999150513532,0.7739850176451449,0.774278356415069,22.294057013322526,0.6418796026706696
3,1.0001673822060317,0.009417357708879574,0.5527173570315995,0.5528847387807811,20.08621026215446,0.652131701146855
4,1.00096402973472,0.009001656441899116,0.2835600866885956,0.28452411381070486,21.360247272570017,0.6598288150394664
5,0.9998597118811693,0.008992337633571225,0.04300041164458345,0.04286012257957819,23.150180190082427,0.6767173732028288
6,1.0,0.008868687431032429,1.584559624246523e-13,1.5269158660720657e-13,22.11539767700564,0.6672649075003231
7,1.0,0.008723469636665133,5.025972448599934e-13,7.887071882647132e-13,23.222623352961502,0.6791348955911749
8,1.0,0.008628782532707659,2.333169394829736e-13,2.1610669503918233e-13,22.95396581372764,0.6714405522626989
9,1.0,0.00845802798777997,2.848049011454905e-13,2.733508516341193e-13,23.16560498530111,0.6819878193210153
10,1.0,0.008577168720835696,3.462786851159708e-13,6.758959349484713e-13,23.12376851162154,0.681036930364721
11,1.0,0.008223241117900003,3.572805429995189e-13,3.898413318682184e-13,23.372902524252215,0.6845260920945336
12,1.0,0.008287290745598827,3.2361479523651224e-13,4.101491242130732e-13,23.02514808446828,0.680778531887952
13,1.0,0.008193350441441564,1.972573216099312e-13,1.490968594608242e-13,23.38653763519634,0.6856612464960884
14,1.0,0.008103853534170967,3.8447896830452316e-13,3.5554837482651775e-13,23.32051713697122,0.6856338869122898
15,1.0,0.008075371919545585,1.9364134248237438e-13,1.6958767954940255e-13,23.135875176284898,0.6877805838865393
16,1.0,0.015330272344593516,2.8672178038372504e-13,2.366941742682795e-13,18.65281786209629,0.4570077551463071
17,1.0,0.01206157034564161,1.9434339341835482e-13,2.792955461698826e-13,22.530594865610517,0.6410648470766405
18,1.0,0.0094850655125376,2.3214034284288615e-13,3.2426782212452904e-13,21.873308255837287,0.6527952835840337
19,1.0,0.009032988826225618,6.875054019197655e-13,8.418337399022089e-13,23.05273612314344,0.6620283107897814
20,1.0,0.008840099487141399,2.4006011454282784e-13,2.9970336063910625e-13,23.005713441260795,0.6670838823037989
21,1.0,0.00862529074449739,2.6492760231000964e-13,2.5156109657848424e-13,22.966966162588843,0.6714862555616042
22,1.0,0.008573517535372588,3.5629091221196577e-13,3.4064987873154326e-13,23.27014203593402,0.6715856802463531
23,1.0,0.008441720387625123,2.821248842801429e-13,2.389985007008916e-13,23.326279760873568,0.6779487485044142
24,1.0,0.008369585729376999,2.6333171171954644e-13,1.7357395239672068e-13,23.289160123630314,0.6767368663759793
25,1.0,0.008212543635177398,2.595590363886418e-13,2.2144000031381903e-13,23.206852912151565,0.6817126572132111
26,1.0,0.008217941064409868,2.620495418867314e-13,2.3443620587991603e-13,23.336602026684016,0.6826306459482978
27,1.0,0.00818436666285831,2.363676484910783e-13,2.018557940801729e-13,23.36011628259189,0.6853724664800307
28,1.0,0.008166735569338598,2.1903823668168445e-13,2.533864581038922e-13,23.358393026204865,0.6848534605082344
29,1.0,0.00810919630001048,2.5347302381307126e-13,2.469364527245521e-13,23.13624984817364,0.6843621814250946
30,1.0,0.008166392531669783,2.5078147426081134e-13,2.3768071512555584e-13,23.383524280943682,0.6815830224401811
31,1.0,0.007961955570844476,3.0951584564147817e-13,2.380864361578014e-13,23.413745017786553,0.6885869493204004
32,1.0,0.008031778613518099,2.2453186662249997e-13,1.8791664859783663e-13,23.412006666357925,0.68880735670819
33,1.0,0.007911038425176622,2.0423281574388572e-13,2.1466350537335066e-13,23.490537001390134,0.6858104271748486
34,1.0,0.008025285041372397,2.3566899568704916e-13,2.342637454577274e-13,23.34761175290631,0.6853679698355057
35,1.0,0.007981400969298835,2.2510689513728396e-13,2.0438102681507407e-13,23.525007239074153,0.6907919243504019
36,1.0,0.00891927402377307,3.273386865718366e-13,3.113843638929949e-13,22.657098686094976,0.6525027467222775
37,1.0,0.008353194686065534,2.6369072989374467e-13,2.4597420907666474e-13,23.406086947700047,0.6867314237706802
38,1.0,0.00813840835104267,2.0147747894703969e-13,1.623184861430533e-13,23.216844029705648,0.6871462557596318
39,1.0,0.007935789347498003,2.033359773956697e-13,1.90516131151417e-13,23.496703032016185,0.6883873525086571
40,1.0,0.007925408844373183,4.2676990020741625e-13,3.197471643026249e-13,23.47706314500578,0.6893000111159157
41,1.0,0.007885172648946503,1.2994302356339455e-12,4.345110647356053e-12,23.526144888947293,0.6887720624138327
42,1.0,0.007854299400960971,2.491325021642476e-13,2.460215518734801e-13,23.443534106656656,0.6865115320682526
43,1.0,0.007839779705478403,2.658460375678526e-13,2.1684013242567522e-13,23.485107207623063,0.6911007084566004
44,1.0,0.0077618071913139195,1.6459312276525416e-13,1.7310762096940265e-13,23.56727673073951,0.6920992844245013
45,1.0,0.00774226597515855,2.713021653304481e-13,2.865607454496833e-13,23.554203230228858,0.6914073120145237
46,1.0,0.0078121699524407616,2.741919287573573e-13,2.4327862581494154e-13,23.526545908636876,0.6913975218464347
47,1.0,0.00773336741192166,1.8530971237759222e-13,1.936243483612457e-13,23.60423509885407,0.6966934105929207
48,1.0,0.007683180782297057,3.3757324439764587e-13,3.2485793397442184e-13,23.633343397953567,0.696553128046148
49,1.0,0.00761522271441753,1.9109871688198344e-13,1.8600693596142395e-13,23.621930479871406,0.6965146078782923
50,1.0,0.007738790135540648,2.555006934127144e-13,2.8435388456686245e-13,23.668991421830334,0.6979390250935275
51,1.0,0.008727679954964422,2.5039161767625735e-13,1.7282004127962845e-13,23.392487380347614,0.6839873517260832
52,1.0,0.007929573829570217,2.9332762450562783e-13,2.2052775091557717e-13,23.5702375224092,0.691431838203879
53,1.0,0.007670991355609037,2.410003567627522e-13,2.2769528820187026e-13,23.63837404970555,0.6977262825124404
54,1.0,0.007625277642450647,2.4954038381635176e-13,2.6591362142246833e-13,23.650043872232267,0.6980364786877352
55,1.0,0.007643775815802241,2.4340865556331796e-13,2.437093123508498e-13,23.63667802140588,0.6963051324030932
56,1.0,0.0075786634275834715,2.668738014523045e-13,2.1846883360150591e-13,23.62155256415404,0.6957495088437025
57,1.0,0.007601883673962362,5.482255791574941e-13,4.611280602262955e-13,23.640592455022063,0.6978787199188681
58,1.0,0.007556362006768674,8.620379681609988e-13,6.116171015476374e-13,23.693928194258753,0.6995222159694223
59,1.0,0.007588577303522361,1.8844588051155696e-13,1.7217333533633146e-13,23.677196174229856,0.6991137055088492
60,1.0,0.007599563373553895,2.0117105904571235e-12,1.7012875365176062e-12,23.649381832445115,0.6984159043255974
61,1.0,0.007549775757207842,1.955521381051883e-13,2.1198009262368154e-13,23.618380287333537,0.6975872788709753
62,1.0,0.007456639489705512,2.8711046861901324e-13,2.90765595531879e-13,23.692144980628072,0.6960860227136051
63,1.0,0.007542264671650476,1.70497674912529e-13,1.7778038550863128e-13,23.644990369270957,0.7000410955092486
64,1.0,0.00748045867877806,1.8925894733202622e-13,2.017021170455257e-13,23.723256964808197,0.7010340222190408
65,1.0,0.007482508315654572,2.133111053771665e-13,2.2969020907536783e-13,23.745703084291783,0.7016672868588392
66,1.0,0.007524790128436452,3.5429241828574294e-13,3.3454937180375287e-13,23.67229282183272,0.699807298744426
67,1.0,0.007439525906821925,2.2312663804334034e-13,2.1380549984524904e-13,23.706511322728396,0.70311980212436
68,1.0,0.007479329096365296,1.8517130306748952e-13,1.784440423265979e-13,23.71576869304255,0.6985306987341713
69,1.0,0.007444639808001989,2.0193707292456825e-13,2.159076058323671e-13,23.73516923536199,0.7022207352694343
70,1.0,0.007446754199235204,3.648301443887986e-13,3.757392348523341e-13,23.69259325961659,0.7013848573320052
71,1.0,0.007447518484365798,2.5609677909596413e-13,2.2458596086432082e-13,23.724165069251196,0.7004182222310235
72,1.0,0.007496521019203934,2.1417883522623975e-13,2.2951590724554845e-13,23.112853355456426,0.6957537236634422
73,1.0,0.008171437363960072,4.802295244774308e-13,3.642708441727749e-13,23.53100641021111,0.6950361555464127
74,1.0,0.007598115453373886,3.22513262750855e-13,2.570861794530732e-13,23.70090394606777,0.6996297699563644
75,1.0,0.007488150420169273,3.0329771859405634e-13,2.6568267306749956e-13,23.737578937557124,0.7039605308280271
76,1.0,0.007443116495642298,2.1570775339753724e-13,2.444052876068403e-13,23.750988661131338,0.7020844750544604
77,1.0,0.00740381563015416,1.8004339739248758e-13,1.8818646549985658e-13,23.763428952821485,0.7038736375640421
78,1.0,0.007423076390283194,1.681060476401882e-13,1.8005921503922495e-13,23.763858513362717,0.7026074881413403
79,1.0,0.007384903792871865,2.2954671134062144e-13,2.2439124746115786e-13,23.770475673117208,0.7034157943725586
80,1.0,0.00738477449841842,2.5864930028343246e-13,2.6822218321365795e-13,23.777487374818456,0.7005617392764372
81,1.0,0.0074072791778755755,2.1427028959074014e-13,2.2669506362396633e-13,23.74747842707947,0.703031392658458
82,1.0,0.007353031445227697,1.7462029252777045e-13,1.5111452876043815e-13,23.788699499424993,0.7040470680769753
83,1.0,0.00735441609001356,2.682795363361265e-13,2.2670062473955606e-13,23.772553962353115,0.700311861038208
84,1.0,0.007338350288190706,3.2715946070222415e-13,2.4263257943540517e-13,23.775163623303936,0.6984141195521635
85,1.0,0.007438452600607437,2.2154448393753283e-13,2.2441516699842537e-13,23.772077161582512,0.7052306689234341
86,1.0,0.007324749592602432,2.091926462768747e-13,2.091500602162378e-13,23.691261313582498,0.7003581441851223
87,1.0,0.00727734009383949,3.01389403026905e-13,2.824714209624079e-13,23.774699335065087,0.7048206871397356
88,1.0,0.0073805617488653,1.540025739801009e-13,1.5837699958572298e-13,23.818611333733383,0.7053723009894876
89,1.0,0.007280719716124192,3.2639779083480034e-13,3.3521469894715713e-13,23.75626809203053,0.7037674687890445
90,1.0,0.007314978265900633,2.8949322940037493e-13,2.4309495928837733e-13,23.773648876881317,0.703371417241938
91,1.0,0.007358507916866662,2.2348984618053914e-13,2.229013755886522e-13,23.80392585099891,0.7045448346698986
92,1.0,0.007317676596053525,2.232875990571718e-13,2.122574517712164e-13,23.763028047035213,0.7037282265635098
93,1.0,0.007308227022451734,2.2258288943764163e-13,2.3856121723126473e-13,23.80252049886215,0.7032154152673834
94,1.0,0.007291287315819792,3.936405757746797e-12,4.129137788507655e-12,23.82268431040727,0.7056922925921048
95,1.0,0.007292816833799292,2.8818212004747046e-13,2.8988812728526236e-13,23.808385680164857,0.7032041225713842
96,1.0,0.0073143824726387766,3.2825132002861276e-13,3.462465962549165e-13,23.786728680024204,0.705380756855011
97,1.0,0.00727401473821548,3.3397220971522736e-13,3.4291875461962424e-13,23.83622351545446,0.7064453721046448
98,1.0,0.00731396691070613,3.493268589212678e-13,2.999841571339354e-13,23.82995168000711,0.7051238005301531
99,1.0,0.007275019807930656,1.630325768448066e-13,1.8659867821654808e-13,23.818056482075797,0.7051743777359233
100,1.0,0.007393834897188726,2.3048375882915217e-13,2.2477540841804402e-13,23.80497480686577,0.7064015072934767
